"title","author","journal","year","pubid","number"
"Ventajas de la estadística bayesiana frente a la frecuentista:¿ por qué nos resistimos a usarla?","Ruiz-Benito, Paloma and Andivia, Enrique and Archambeaou, Juliette and Astigarraga, Julen and Barrientos, Rafael and Cruz-Alonso, Verónica and Florencio, Margarita and Gómez, Daniel and Martínez-Baroja, Loreto and Quiles, Pablo and others","Ecosistemas","2018","","2"
"Long-term recovery of multifunctionality in Mediterranean forests depends on restoration strategy and forest type","Cruz-Alonso, Verónica and Ruiz-Benito, Paloma and Villar-Salvador, Pedro and Rey-Benayas, José María","Journal of Applied Ecology","2019","","3"
"Badlands forest restoration in Central Spain after 50 years under a Mediterranean-continental climate","Mongil-Manso, J and Navarro-Hevia, J and Díaz-Gutiérrez, V and Cruz-Alonso, V and Ramos-Díez, I","Ecological Engineering","2016","",""
"Estudio, gestión, conservación y restauración de ecosistemas ante el cambio global: 1º Jornadas FORECO en la Universidad de Alcalá","Sal, A Gómez and de Baroja, L Martínez and Madrigal, J and Marques, L and Ruiz, M Marvá and Molina-Venegas, R and Pataro, L and Camacho, L Pérez and de la Torre, S Rebollo and Benayas, JM Rey and others","Ecosistemas","2016","","1"
"“Bases ecológicas para la gestión adaptativa de sistemas forestales”, IV reunión del Grupo de Trabajo de Ecología, Ecofisiología y Suelos Forestales de la Sociedad Española de Ciencias Forestales","Ruiz-Benito, Paloma and Villar-Salvador, Pedro and Pardos, Marta and Herrero, Asier and Cruz-Alonso, Verónica and Andivia, Enrique","Ecosistemas","2019","","2"
"Destrucción y restauración de la cubierta forestal en la cuenca alta del río Corneja (Ávila: análisis histórico de un proceso de gestión cambiante","Manso, Jorge Mongil and Hevia, Joaquín Navarro and Alonso, Verónica Cruz and Gutiérrez, Virginia Díaz","Cuadernos de la Sociedad Española de Ciencias Forestales","2013","","38"
"Nuevo infiltrómetro inundador para test de infiltración económico en terrenos agroforestales y espacios verdes","Manso, Jorge Mongil and Hevia, Joaquín Navarro and Gutiérrez, Virginia Díaz and Alonso, Verónica Cruz","Cuadernos de la Sociedad Española de Ciencias Forestales","2015","","41"
"Servicios ecosistémicos en el Chaco Húmedo Paraguayo: retos para el manejo basado en los ecosistemas","González, Ana María Merenciano and Musálem, Karim and Laino, Rafaela and Benayas, José María Rey and Alonso, Verónica Cruz and Cordero, Zoraya El Raiss and Moreno, Viviana Brun and Otazu, Pabla Chaparro and Valenzuela, Andrea Lubián and González, Jorge Daniel and others","Revista Ecosistemas","2018","","2"
"Long-term dynamics of shrub facilitation shape the mixing of evergreen and deciduous oaks in Mediterranean abandoned fields","Cruz-Alonso, Verónica and Villar-Salvador, Pedro and Ruiz-Benito, Paloma and Ibáñez, Inés and Rey-Benayas, José M","Journal of Ecology","2020","","3"
"Fresh perspectives for classic forest restoration challenges","Rodríguez-Uña, Asun and Cruz-Alonso, Verónica and Rohrer, Zoë and Martínez-Baroja, Loreto","Restoration Ecology","2020","","1"
"Evidence of non-stationary relationships between climate and forest responses: Increased sensitivity to climate change in Iberian forests","Astigarraga, Julen and Andivia, Enrique and Zavala, Miguel A and Gazol, Antonio and Cruz-Alonso, Verónica and Vicente-Serrano, Sergio M and Ruiz-Benito, Paloma","Global Change Biology","2020","","9"
"Functional diversity enhances tree growth and reduces herbivory damage in secondary broadleaf forests, but does not influence resilience to drought","Espelta, Josep Maria and Cruz-Alonso, Verónica and Alfaro-Sánchez, Raquel and Hampe, Arndt and Messier, Christian and Pino, Joan","Journal of Applied Ecology","2020","","12"
"Woody species richness and turnover in expanding Mediterranean forests: a story of landscape legacies influenced by climatic aridity","Cruz-Alonso, Verónica and Espelta, Josep Maria and Pino, Joan","Landscape Ecology","2021","","6"
"¡ Se puede entender cómo funcionan Git y GitHub!","Astigarraga, Julen and Cruz-Alonso, Verónica","Ecosistemas","2022","","1"
"The easyclimate R package: Easy access to high-resolution daily climate data for Europe","Cruz-Alonso, Verónica and Pucher, Christoph and Ratcliffe, Sophia and Ruiz-Benito, Paloma and Astigarraga, Julen and Neumann, Mathias and Hasenauer, Hubert and Rodríguez-Sánchez, Francisco","Environmental Modelling & Software","2023","",""
"Enhanced infiltration by trees in floodable cattle ranches in Paraguay","Cruz-Alonso, V and Musálem, K and Mongil-Manso, J and Viñegla, F and Insfrán, A and Rey-Benayas, JM","Agroforestry Systems","2022","","5"
"Gender bias in ecosystem restoration: from science to practice","Cruz-Alonso, Verónica and Martínez-Baroja, Loreto and Marqués, Laura and Rodríguez-Uña, Asun and Rohrer, Zoë and Monteagudo, Navila and Velado-Alonso, Elena","Restoration Ecology","2023","","4"
"Recent increase in tree damage and mortality and their spatial dependence on drought intensity in Mediterranean forests","Rebollo, Pedro and Moreno-Fernández, Daniel and Cruz-Alonso, Verónica and Gazol, Antonio and Rodríguez-Rey, Marta and Astigarraga, Julen and Zavala, Miguel A and Gómez-Aparicio, Lorena and Andivia, Enrique and Miguel-Romero, Sofía and others","Landscape Ecology","2024","","3"
"Herbivores regulate native–alien plants dynamics in sub-Antarctic beech (Nothofagus antarctica) forests of Tierra del Fuego, Argentina","Soler, Rosina and Bustamante, Gimena and Cruz-Alonso, Verónica and Lenzner, Bernd and Essl, Franz","Applied Vegetation Science","2023","","2"
"Quantifying carbon storage and sequestration by native and non-native forests under contrasting climate types","Lázaro-Lobo, Adrián and Ruiz-Benito, Paloma and Cruz-Alonso, Verónica and Castro-Díez, Pilar","Global Change Biology","2023","","16"
"Post-fire forest recovery at high latitudes: tree regeneration dominated by fire-adapted, early-seral species increases with latitude","Ruggirello, Matthew Joseph and Bustamante, Gimena and Rodriguez, Paula and Cruz-Alonso, Verónica and Soler, Rosina","Annals of Forest Science","2023","","1"
"The alien conifer Cupressus arizonica can outcompete native pines in Mediterranean mixed forests under climate change","Medina-Villar, Silvia and Pérez-Corona, M Esther and Herrero, Asier and Cruz-Alonso, Verónica and Carro-Martinez, Noelia and Andivia, Enrique","NeoBiota","2024","",""
"Reconocimiento a revisoras, revisores y editoras, editores invitados de ECOSISTEMAS del año 2023","Mateo, Laura Hernández and Jiménez-Eguizábal, Leyre and Bartomeus, Ignasi and Morales, Mecedes Molina and Sobral, Mar and Benavides, Raquel and Bastias, Cristina C and Pérez-Luque, Antonio Jesús and Garrido-Bautista, Jorge and Villellas, Jesús and others","Ecosistemas","2024","","1"
"Ecosistemas consolida su apuesta por un sistema de publicación abierto y justo avanzando hacia su internacionalización","Bartomeus, Ignasi and Mateo, Laura Hernández and Jiménez-Eguizábal, Leyre and Molina-Morales, Mercedes and Sobral, Mar and Benavides, Raquel and Bastias, Cristina C and Pérez-Luque, Antonio Jesús and Garrido-Bautista, Jorge and Villellas, Jesús and others","Ecosistemas","2024","","1"
"Centennial recovery of recent human-disturbed forests","Rodríguez-Uña, Asun and Cruz-Alonso, Verónica and López-López, José A and Moreno-Mateos, David","bioRxiv","2024","",""
